id,group,type,level,description,sourcefile
604,ossec,rule,3,Host Unblocked by host-deny.sh Active Response,ossec_rules.xml
605,ossec,rule,3,Host Blocked by route-null.sh Active Response,ossec_rules.xml
606,ossec,rule,3,Host Unblocked by route-null.sh Active Response,ossec_rules.xml
700,ossec,rule,0,Logcollector Messages Grouped,ossec_rules.xml
701,ossec,rule,0,Ignore informational messages (usually at startup),ossec_rules.xml
1001,various,rule,2,File missing. Root access unrestricted.,syslog_rules.xml
1002,various,rule,2,Unknown problem somewhere in the system.,local_rules.xml
1003,various,rule,13,Non standard syslog message (size too large).,local_rules.xml
1004,various,rule,5,Syslogd exiting (logging stopped).,syslog_rules.xml
1005,various,rule,5,Syslogd restarted.,syslog_rules.xml
1006,various,rule,5,Syslogd restarted.,syslog_rules.xml
1007,various,rule,7,File system full.,syslog_rules.xml
1008,various,rule,5,Process exiting (killed).,syslog_rules.xml
1009,various,rule,0,Ignoring known false positives on rule 1002..,syslog_rules.xml
1010,various,rule,5,Process segfaulted.,syslog_rules.xml
2100,various,rule,0,NFS rules grouped.,syslog_rules.xml
2101,various,rule,4,Unable to mount the NFS share.,syslog_rules.xml
2102,various,rule,4,Unable to mount the NFS directory.,syslog_rules.xml
2103,various,rule,4,Unable to mount the NFS directory.,syslog_rules.xml
2104,various,rule,2,Automount informative message,syslog_rules.xml
2301,various,rule,10,Excessive number connections to a service.,syslog_rules.xml
2501,various,rule,5,User authentication failure.,syslog_rules.xml
2502,various,rule,10,User missed the password more than one time,syslog_rules.xml
2503,various,rule,5,Connection blocked by Tcp Wrappers.,syslog_rules.xml
2504,various,rule,9,Illegal root login. ,syslog_rules.xml
2505,various,rule,3,Physical root login.,syslog_rules.xml
2506,various,rule,3,Pop3 Authentication passed.,syslog_rules.xml
2507,various,rule,0,OpenLDAP group.,syslog_rules.xml
2508,various,rule,3,OpenLDAP connection open.,syslog_rules.xml
2509,various,rule,5,OpenLDAP authentication failed.,syslog_rules.xml
2550,various,rule,0,rshd messages grouped.,syslog_rules.xml
2551,various,rule,10,Connection to rshd from unprivileged port. Possible network scan.,syslog_rules.xml
2701,various,rule,0,Ignoring procmail messages.,syslog_rules.xml
2800,various,rule,0,Pre-match rule for smartd.,syslog_rules.xml
2801,various,rule,0,Smartd Started but not configured,syslog_rules.xml
2802,various,rule,0,Smartd configuration problem,syslog_rules.xml
2803,various,rule,0,Device configured but not available to Smartd,syslog_rules.xml
2830,various,rule,0,Crontab rule group.,syslog_rules.xml
2831,various,rule,0,Wrong crond configuration,syslog_rules.xml
2832,various,rule,5,Crontab entry changed.,syslog_rules.xml
2833,various,rule,8,Root's crontab entry changed.,syslog_rules.xml
2834,various,rule,5,Crontab opened for editing.,syslog_rules.xml
2900,various,rule,0,Dpkg (Debian Package) log.,syslog_rules.xml
2901,various,rule,3,New dpkg (Debian Package) requested to install.,syslog_rules.xml
2902,various,rule,7,New dpkg (Debian Package) installed.,syslog_rules.xml
2903,various,rule,7,Dpkg (Debian Package) removed.,syslog_rules.xml
2930,various,rule,0,Yum logs.,syslog_rules.xml
2931,various,rule,0,Yum logs.,syslog_rules.xml
2932,various,rule,7,New Yum package installed.,syslog_rules.xml
2933,various,rule,7,Yum package updated.,syslog_rules.xml
2934,various,rule,7,Yum package deleted.,syslog_rules.xml
2935,various,rule,0,Grouping for the mptscrih rules.,syslog_rules.xml
2936,various,rule,0,Grouping for the mptbase rules.,syslog_rules.xml
2937,various,rule,12,Possible Disk failure. SCSI controller error.,syslog_rules.xml
2938,various,rule,12,"SCSI RAID ARRAY ERROR, drive failed.",syslog_rules.xml
2939,various,rule,12,SCSI RAID is now in a degraded status.,syslog_rules.xml
2940,various,rule,0,NetworkManager grouping.,syslog_rules.xml
2941,various,rule,3,Incorrect chain/target/match.,syslog_rules.xml
2942,various,rule,0,Uninteresting gnome error.,syslog_rules.xml
2943,various,rule,0,nouveau driver grouping,syslog_rules.xml
2944,various,rule,1,Uninteresting nouveau error.,syslog_rules.xml
2945,various,rule,4,rsyslog may be dropping messages due to rate-limiting.,syslog_rules.xml
3100,"syslog,sendmail",rule,0,Grouping of the sendmail rules.,sendmail_rules.xml
3101,"syslog,sendmail",rule,0,Grouping of the sendmail reject rules.,sendmail_rules.xml
3102,"syslog,sendmail",rule,5,System.Object[],sendmail_rules.xml
3103,"syslog,sendmail",rule,6,System.Object[],sendmail_rules.xml
3104,"syslog,sendmail",rule,6,System.Object[],sendmail_rules.xml
3105,"syslog,sendmail",rule,5,System.Object[],sendmail_rules.xml
3106,"syslog,sendmail",rule,5,System.Object[],sendmail_rules.xml
3107,"syslog,sendmail",rule,4,Sendmail rejected message.,sendmail_rules.xml
3108,"syslog,sendmail",rule,6,Sendmail rejected due to pre-greeting.,sendmail_rules.xml
3109,"syslog,sendmail",rule,8,Sendmail save mail panic.,sendmail_rules.xml
3151,"syslog,sendmail",rule,10,System.Object[],sendmail_rules.xml
3152,"syslog,sendmail",rule,6,System.Object[],sendmail_rules.xml
3153,"syslog,sendmail",rule,6,Multiple relaying attempts of spam.,sendmail_rules.xml
3154,"syslog,sendmail",rule,10,System.Object[],sendmail_rules.xml
3155,"syslog,sendmail",rule,10,System.Object[],sendmail_rules.xml
3156,"syslog,sendmail",rule,10,Multiple rejected e-mails from same source ip.,sendmail_rules.xml
3158,"syslog,sendmail",rule,10,Multiple pre-greetings rejects.,sendmail_rules.xml
3190,"syslog,sendmail",rule,0,Grouping of the smf-sav sendmail milter rules.,sendmail_rules.xml
3191,"syslog,sendmail",rule,6,System.Object[],sendmail_rules.xml
3300,"syslog,postfix",rule,0,Grouping of the postfix reject rules.,postfix_rules.xml
3301,"syslog,postfix",rule,6,System.Object[],postfix_rules.xml
3302,"syslog,postfix",rule,6,System.Object[],postfix_rules.xml
3303,"syslog,postfix",rule,5,System.Object[],postfix_rules.xml
3304,"syslog,postfix",rule,5,System.Object[],postfix_rules.xml
3305,"syslog,postfix",rule,5,System.Object[],postfix_rules.xml
3306,"syslog,postfix",rule,6,IP Address deny-listed by anti-spam (blocked).,postfix_rules.xml
3320,"syslog,postfix",rule,0,Grouping of the postfix rules.,postfix_rules.xml
3330,"syslog,postfix",rule,10,Postfix process error.,postfix_rules.xml
3331,"syslog,postfix",rule,10,Postfix insufficient disk space error.,postfix_rules.xml
3332,"syslog,postfix",rule,5,Postfix SASL authentication failure.,postfix_rules.xml
3333,"syslog,postfix",rule,7,Postfix stopped.,postfix_rules.xml
3334,"syslog,postfix",rule,3,Postfix started.,postfix_rules.xml
3351,"syslog,postfix",rule,6,Multiple relaying attempts of spam.,postfix_rules.xml
3352,"syslog,postfix",rule,6,System.Object[],postfix_rules.xml
3353,"syslog,postfix",rule,10,System.Object[],postfix_rules.xml
3354,"syslog,postfix",rule,12,System.Object[],postfix_rules.xml
3355,"syslog,postfix",rule,10,System.Object[],postfix_rules.xml
3356,"syslog,postfix",rule,10,System.Object[],postfix_rules.xml
3357,"syslog,postfix",rule,10,Multiple SASL authentication failures.,postfix_rules.xml
3390,"syslog,postfix",rule,0,Grouping of the clamsmtpd rules.,postfix_rules.xml
3500,"syslog,spamd",rule,0,Grouping for the spamd rules,spamd_rules.xml
3501,"syslog,spamd",rule,0,SPAMD result message (not very usefull here).,spamd_rules.xml
3502,"syslog,spamd",rule,0,Spamd debug event (reading message).,spamd_rules.xml
3600,"syslog,imapd",rule,0,Grouping of the imapd rules.,imapd_rules.xml
3601,"syslog,imapd",rule,5,Imapd user login failed.,imapd_rules.xml
3602,"syslog,imapd",rule,3,Imapd user login.,imapd_rules.xml
3603,"syslog,imapd",rule,0,Imapd user logout.,imapd_rules.xml
3651,"syslog,imapd",rule,10,Multiple failed logins from same source ip.,imapd_rules.xml
3700,"syslog,mailscanner",rule,0,Grouping of mailscanner rules.,mailscanner_rules.xml
3701,"syslog,mailscanner",rule,0,Non spam message. Ignored.,mailscanner_rules.xml
3702,"syslog,mailscanner",rule,5,Mail Scanner spam detected.,mailscanner_rules.xml
3751,"syslog,mailscanner",rule,6,Multiple attempts of spam.,mailscanner_rules.xml
3752,"syslog,mailscanner",rule,0,ignore,mailscanner_rules.xml
3800,"ms,exchange",rule,0,Grouping of Exchange rules.,ms-exchange_rules.xml
3801,"ms,exchange",rule,4,E-mail rcpt is not valid (invalid account).,ms-exchange_rules.xml
3802,"ms,exchange",rule,4,E-mail 500 error code.,ms-exchange_rules.xml
3851,"ms,exchange",rule,9,Multiple e-mail attempts to an invalid account.,ms-exchange_rules.xml
3852,"ms,exchange",rule,9,Multiple e-mail 500 error code (spam).,ms-exchange_rules.xml
3900,"syslog,courier",rule,0,Grouping for the courier rules.,courier_rules.xml
3901,"syslog,courier",rule,3,New courier (imap/pop3) connection.,courier_rules.xml
3902,"syslog,courier",rule,5,Courier (imap/pop3) authentication failed.,courier_rules.xml
3903,"syslog,courier",rule,0,Courier logout/timeout.,courier_rules.xml
3904,"syslog,courier",rule,3,Courier (imap/pop3) authentication success.,courier_rules.xml
3910,"syslog,courier",rule,10,Courier brute force (multiple failed logins).,courier_rules.xml
3911,"syslog,courier",rule,10,Multiple connection attempts from same source.,courier_rules.xml
4100,firewall,rule,0,Firewall rules grouped.,firewall_rules.xml
4101,various,rule,5,Firewall drop event.,firewall_rules.xml
4102,various,rule,5,Firewall drop event.,firewall_rules.xml
4151,firewall,rule,10,Multiple Firewall drop events from same source.,firewall_rules.xml
4300,"syslog,pix",rule,0,Grouping of PIX rules,pix_rules.xml
4310,"syslog,pix",rule,5,PIX alert message.,pix_rules.xml
4311,"syslog,pix",rule,5,PIX critical message.,pix_rules.xml
4312,"syslog,pix",rule,4,PIX error message.,pix_rules.xml
4313,"syslog,pix",rule,4,PIX warning message.,pix_rules.xml
4314,"syslog,pix",rule,0,PIX notification/informational message.,pix_rules.xml
4315,"syslog,pix",rule,0,PIX debug message.,pix_rules.xml
4321,"syslog,pix",rule,9,Failed login attempt at the PIX firewall.,pix_rules.xml
4322,"syslog,pix",rule,3,Privilege changed in the PIX firewall.,pix_rules.xml
4323,"syslog,pix",rule,3,Successful login to the PIX firewall.,pix_rules.xml
4324,"syslog,pix",rule,9,System.Object[],pix_rules.xml
4325,"syslog,pix",rule,8,ARP collision detected by the PIX.,pix_rules.xml
4326,"syslog,pix",rule,8,Attempt to connect from a blocked (shunned) IP.,pix_rules.xml
4327,"syslog,pix",rule,8,Connection limit exceeded.,pix_rules.xml
4330,"syslog,pix",rule,8,Attack in progress detected by the PIX.,pix_rules.xml
4331,"syslog,pix",rule,8,Attack in progress detected by the PIX.,pix_rules.xml
4332,"syslog,pix",rule,8,Attack in progress detected by the PIX.,pix_rules.xml
4333,"syslog,pix",rule,8,Attack in progress detected by the PIX.,pix_rules.xml
4334,"syslog,pix",rule,5,AAA (VPN) authentication failed.,pix_rules.xml
4335,"syslog,pix",rule,3,AAA (VPN) authentication successful.,pix_rules.xml
4336,"syslog,pix",rule,8,AAA (VPN) user locked out.,pix_rules.xml
4337,"syslog,pix",rule,8,The PIX is disallowing new connections.,pix_rules.xml
4338,"syslog,pix",rule,8,Firewall failover pair communication problem.,pix_rules.xml
4339,"syslog,pix",rule,8,Firewall configuration deleted.,pix_rules.xml
4340,"syslog,pix",rule,8,Firewall configuration changed.,pix_rules.xml
4341,"syslog,pix",rule,3,Firewall command executed (for accounting only).,pix_rules.xml
4342,"syslog,pix",rule,8,User created or modified on the Firewall.,pix_rules.xml
4380,"syslog,pix",rule,10,Multiple PIX alert messages.,pix_rules.xml
4381,"syslog,pix",rule,10,Multiple PIX critical messages.,pix_rules.xml
4382,"syslog,pix",rule,10,Multiple PIX error messages.,pix_rules.xml
4383,"syslog,pix",rule,10,Multiple PIX warning messages.,pix_rules.xml
4385,"syslog,pix",rule,10,Multiple attack in progress messages.,pix_rules.xml
4386,"syslog,pix",rule,10,Multiple AAA (VPN) authentication failures.,pix_rules.xml
4500,netscreenfw,rule,0,Grouping for the Netscreen Firewall rules,netscreenfw_rules.xml
4501,netscreenfw,rule,3,Netscreen notification message.,netscreenfw_rules.xml
4502,netscreenfw,rule,4,Netscreen warning message.,netscreenfw_rules.xml
4503,netscreenfw,rule,5,Netscreen critical/alert message.,netscreenfw_rules.xml
4504,netscreenfw,rule,5,Netscreen informational message.,netscreenfw_rules.xml
4505,netscreenfw,rule,11,Netscreen Erase sequence started.,netscreenfw_rules.xml
4506,netscreenfw,rule,8,Successfull admin login to the Netscreen firewall,netscreenfw_rules.xml
4507,netscreenfw,rule,8,Successfull admin login to the Netscreen firewall,netscreenfw_rules.xml
4508,netscreenfw,rule,8,Firewall policy changed.,netscreenfw_rules.xml
4509,netscreenfw,rule,8,Firewall configuration changed.,netscreenfw_rules.xml
4513,netscreenfw,rule,5,Netscreen critical/alert message.,netscreenfw_rules.xml
4550,netscreenfw,rule,10,System.Object[],netscreenfw_rules.xml
4551,netscreenfw,rule,10,Multiple Netscreen critical messages.,netscreenfw_rules.xml
4552,netscreenfw,rule,10,System.Object[],netscreenfw_rules.xml
4553,netscreenfw,rule,10,Multiple Netscreen alert messages.,netscreenfw_rules.xml
4560,netscreenfw,rule,3,netscreen detected a SYN flood.,netscreenfw_rules.xml
4700,"syslog,cisco_ios",rule,0,Grouping of Cisco IOS rules.,cisco-ios_rules.xml
4710,"syslog,cisco_ios",rule,9,Cisco IOS emergency message.,cisco-ios_rules.xml
4711,"syslog,cisco_ios",rule,5,Cisco IOS alert message.,cisco-ios_rules.xml
4712,"syslog,cisco_ios",rule,5,Cisco IOS critical message.,cisco-ios_rules.xml
4713,"syslog,cisco_ios",rule,4,Cisco IOS error message.,cisco-ios_rules.xml
4714,"syslog,cisco_ios",rule,4,Cisco IOS warning message.,cisco-ios_rules.xml
4715,"syslog,cisco_ios",rule,0,Cisco IOS notification message.,cisco-ios_rules.xml
4716,"syslog,cisco_ios",rule,0,Cisco IOS informational message.,cisco-ios_rules.xml
4717,"syslog,cisco_ios",rule,0,Cisco IOS debug message.,cisco-ios_rules.xml
4721,"syslog,cisco_ios",rule,3,Cisco IOS router configuration changed.,cisco-ios_rules.xml
4722,"syslog,cisco_ios",rule,3,Successful login to the router.,cisco-ios_rules.xml
4724,"syslog,cisco_ios",rule,9,Failed login to the router.,cisco-ios_rules.xml
4800,"syslog,sonicwall",rule,0,SonicWall messages grouped.,sonicwall_rules.xml
4801,"syslog,sonicwall",rule,8,SonicWall critical message.,sonicwall_rules.xml
4802,"syslog,sonicwall",rule,8,SonicWall critical message.,sonicwall_rules.xml
4803,"syslog,sonicwall",rule,4,SonicWall error message.,sonicwall_rules.xml
4804,"syslog,sonicwall",rule,3,SonicWall warning message.,sonicwall_rules.xml
4805,"syslog,sonicwall",rule,0,SonicWall notice message.,sonicwall_rules.xml
4806,"syslog,sonicwall",rule,0,SonicWall informational message.,sonicwall_rules.xml
4807,"syslog,sonicwall",rule,0,SonicWall debug message.,sonicwall_rules.xml
4810,"syslog,sonicwall",rule,3,Firewall administrator login.,sonicwall_rules.xml
4811,"syslog,sonicwall",rule,9,Firewall authentication failure.,sonicwall_rules.xml
4850,"syslog,sonicwall",rule,10,Multiple firewall warning messages.,sonicwall_rules.xml
4851,"syslog,sonicwall",rule,10,Multiple firewall error messages.,sonicwall_rules.xml
5100,various,rule,0,Pre-match rule for kernel messages,syslog_rules.xml
5101,various,rule,0,Informative message from the kernel.,syslog_rules.xml
5102,various,rule,0,Informative message from the kernel,syslog_rules.xml
5103,various,rule,9,System.Object[],syslog_rules.xml
5104,various,rule,8,Interface entered in promiscuous(sniffing) mode.,syslog_rules.xml
5105,various,rule,0,Invalid request to /dev/fd0 (bug on the kernel).,syslog_rules.xml
5106,various,rule,0,NFS incompatibility between Linux and Solaris.,syslog_rules.xml
5107,various,rule,0,NFS incompatibility between Linux and Solaris.,syslog_rules.xml
5108,various,rule,12,System.Object[],syslog_rules.xml
5109,various,rule,4,Kernel Input/Output error,syslog_rules.xml
5110,various,rule,4,IRC misconfiguration,syslog_rules.xml
5111,various,rule,0,Kernel device error.,syslog_rules.xml
5112,various,rule,0,Kernel usbhid probe error (ignored).,syslog_rules.xml
5113,various,rule,7,System is shutting down.,syslog_rules.xml
5130,various,rule,7,Monitor ADSL line is down.,syslog_rules.xml
5131,various,rule,3,Monitor ADSL line is up.,syslog_rules.xml
5200,various,rule,0,Ignoring hpiod for producing useless logs.,syslog_rules.xml
5300,various,rule,0,Initial grouping for su messages.,syslog_rules.xml
5301,various,rule,5,User missed the password to change UID (user id).,syslog_rules.xml
5302,various,rule,9,User missed the password to change UID to root.,syslog_rules.xml
5303,various,rule,3,User successfully changed UID to root.,syslog_rules.xml
5304,various,rule,3,User successfully changed UID.,syslog_rules.xml
5305,various,rule,4,First time (su) is executed by user.,syslog_rules.xml
5306,various,rule,0,A user has attempted to su to an unknown class.,syslog_rules.xml
5400,various,rule,0,Initial group for sudo messages,syslog_rules.xml
5401,various,rule,5,Failed attempt to run sudo,syslog_rules.xml
5402,various,rule,3,Successful sudo to ROOT executed,syslog_rules.xml
5403,various,rule,4,First time user executed sudo.,syslog_rules.xml
5404,various,rule,10,Three failed attempts to run sudo,syslog_rules.xml
5405,various,rule,5,Unauthorized user attempted to use sudo.,syslog_rules.xml
5500,"pam,syslog",rule,0,Grouping of the pam_unix rules.,pam_rules.xml
5501,"pam,syslog",rule,3,Login session opened.,pam_rules.xml
5502,"pam,syslog",rule,3,Login session closed.,pam_rules.xml
5503,"pam,syslog",rule,5,User login failed.,pam_rules.xml
5504,"pam,syslog",rule,5,Attempt to login with an invalid user.,pam_rules.xml
5521,"pam,syslog",rule,0,Ignoring Annoying Ubuntu/debian cron login events.,pam_rules.xml
5522,"pam,syslog",rule,0,Ignoring Annoying Ubuntu/debian cron login events.,pam_rules.xml
5523,"pam,syslog",rule,0,Ignoring events with a user or a password.,pam_rules.xml
5551,"pam,syslog",rule,10,Multiple failed logins in a small period of time.,pam_rules.xml
5552,"pam,syslog",rule,0,PAM and gdm are not playing nicely.,pam_rules.xml
5553,"pam,syslog",rule,4,PAM misconfiguration.,pam_rules.xml
5554,"pam,syslog",rule,4,PAM misconfiguration.,pam_rules.xml
5555,"pam,syslog",rule,3,User changed password.,pam_rules.xml
5556,"pam,syslog",rule,0,unix_chkpwd grouping.,pam_rules.xml
5557,"pam,syslog",rule,5,Password check failed.,pam_rules.xml
5600,"syslog,telnetd",rule,0,Grouping for the telnetd rules,telnetd_rules.xml
5601,"syslog,telnetd",rule,5,Connection refused by TCP Wrappers.,telnetd_rules.xml
5602,"syslog,telnetd",rule,3,Remote host established a telnet connection.,telnetd_rules.xml
5603,"syslog,telnetd",rule,5,Remote host invalid connection.,telnetd_rules.xml
5604,"syslog,telnetd",rule,5,Reverse lookup error (bad hostname config).,telnetd_rules.xml
5631,"syslog,telnetd",rule,10,System.Object[],telnetd_rules.xml
5700,"syslog,sshd",rule,0,SSHD messages grouped.,sshd_rules.xml
5701,"syslog,sshd",rule,8,System.Object[],sshd_rules.xml
5702,"syslog,sshd",rule,5,Reverse lookup error (bad ISP or attack).,sshd_rules.xml
5703,"syslog,sshd",rule,10,System.Object[],sshd_rules.xml
5704,"syslog,sshd",rule,4,Timeout while logging in (sshd).,sshd_rules.xml
5705,"syslog,sshd",rule,10,System.Object[],sshd_rules.xml
5706,"syslog,sshd",rule,6,SSH insecure connection attempt (scan).,sshd_rules.xml
5707,"syslog,sshd",rule,14,OpenSSH challenge-response exploit.,sshd_rules.xml
5709,"syslog,sshd",rule,0,Useless SSHD message without an user/ip and context.,sshd_rules.xml
5710,"syslog,sshd",rule,5,Attempt to login using a non-existent user,sshd_rules.xml
5711,"syslog,sshd",rule,0,Useless/Duplicated SSHD message without a user/ip.,sshd_rules.xml
5712,"syslog,sshd",rule,10,System.Object[],sshd_rules.xml
5713,"syslog,sshd",rule,6,Corrupted bytes on SSHD.,sshd_rules.xml
5714,"syslog,sshd",rule,14,SSH CRC-32 Compensation attack,sshd_rules.xml
5715,"syslog,sshd",rule,3,SSHD authentication success.,sshd_rules.xml
5716,"syslog,sshd",rule,5,SSHD authentication failed.,sshd_rules.xml
5717,"syslog,sshd",rule,4,SSHD configuration error (moduli).,sshd_rules.xml
5718,"syslog,sshd",rule,5,Attempt to login using a denied user.,sshd_rules.xml
5719,"syslog,sshd",rule,10,Multiple access attempts using a denied user.,sshd_rules.xml
5720,"syslog,sshd",rule,10,Multiple SSHD authentication failures.,sshd_rules.xml
5721,"syslog,sshd",rule,0,System disconnected from sshd.,sshd_rules.xml
5722,"syslog,sshd",rule,0,ssh connection closed.,sshd_rules.xml
5723,"syslog,sshd",rule,0,SSHD key error.,sshd_rules.xml
5724,"syslog,sshd",rule,0,SSHD key error.,sshd_rules.xml
5725,"syslog,sshd",rule,0,Host ungracefully disconnected.,sshd_rules.xml
5726,"syslog,sshd",rule,5,"Unknown PAM module, PAM misconfiguration.",sshd_rules.xml
5727,"syslog,sshd",rule,0,Attempt to start sshd when something already bound to the port.,sshd_rules.xml
5728,"syslog,sshd",rule,4,Authentication services were not able to retrieve user credentials.,sshd_rules.xml
5729,"syslog,sshd",rule,0,Debug message.,sshd_rules.xml
5730,"syslog,sshd",rule,4,SSHD is not accepting connections.,sshd_rules.xml
5731,"syslog,sshd",rule,6,SSH Scanning.,sshd_rules.xml
5732,"syslog,sshd",rule,0,Possible port forwarding failure.,sshd_rules.xml
5733,"syslog,sshd",rule,0,User entered incorrect password.,sshd_rules.xml
5734,"syslog,sshd",rule,0,sshd could not load one or more host keys.,sshd_rules.xml
5735,"syslog,sshd",rule,0,Failed write due to one host disappearing.,sshd_rules.xml
5736,"syslog,sshd",rule,0,Connection reset or aborted.,sshd_rules.xml
5737,"syslog,sshd",rule,5,sshd cannot bind to configured address.,sshd_rules.xml
5738,"syslog,sshd",rule,5,pam_loginuid could not open loginuid.,sshd_rules.xml
5739,"syslog,sshd",rule,4,SSHD configuration error (AuthorizedKeysCommand),sshd_rules.xml
5740,"syslog,sshd",rule,4,ssh connection reset by peer,sshd_rules.xml
5741,"syslog,sshd",rule,4,ssh connection refused,sshd_rules.xml
5742,"syslog,sshd",rule,4,ssh connection timed out,sshd_rules.xml
5743,"syslog,sshd",rule,4,ssh no route to host,sshd_rules.xml
5744,"syslog,sshd",rule,4,ssh port forwarding issue,sshd_rules.xml
5745,"syslog,sshd",rule,4,ssh transport endpoint is not connected,sshd_rules.xml
5746,"syslog,sshd",rule,4,ssh get_remote_port failed,sshd_rules.xml
5747,"syslog,sshd",rule,6,ssh bad client public DH value,sshd_rules.xml
5748,"syslog,sshd",rule,6,ssh corrupted MAC on input,sshd_rules.xml
5749,"syslog,sshd",rule,4,ssh bad packet length,sshd_rules.xml
5750,"syslog,sshd",rule,0,sshd could not negotiate with client.,sshd_rules.xml
5751,"syslog,sshd",rule,1,No hostkey alg.,sshd_rules.xml
5752,"syslog,sshd",rule,2,Client did not offer an acceptable key exchange method.,sshd_rules.xml
5753,"syslog,sshd",rule,2,"sshd could not negotiate with client, no matching cipher.",sshd_rules.xml
5754,"syslog,sshd",rule,1,sshd failed to create a session.,sshd_rules.xml
5755,"syslog,sshd",rule,2,Authentication refused due to owner/permissions of authorized_keys.,sshd_rules.xml
5756,"syslog,sshd",rule,0,sshd subsystem request failed.,sshd_rules.xml
5757,"syslog,sshd",rule,0,Bad DNS mapping.,sshd_rules.xml
5758,"syslog,sshd",rule,8,Maximum authentication attempts exceeded.,sshd_rules.xml
5901,various,rule,8,New group added to the system,syslog_rules.xml
5902,various,rule,8,New user added to the system,syslog_rules.xml
5903,various,rule,2,Group (or user) deleted from the system,syslog_rules.xml
5904,various,rule,8,Information from the user was changed,syslog_rules.xml
5905,various,rule,0,useradd failed.,syslog_rules.xml
6100,"syslog,solaris_bsm",rule,0,Solaris BSM Auditing messages grouped.,solaris_bsm_rules.xml
6101,"syslog,solaris_bsm",rule,5,Auditing session failed.,solaris_bsm_rules.xml
6102,"syslog,solaris_bsm",rule,0,Auditing session succeeded.,solaris_bsm_rules.xml
6103,"syslog,solaris_bsm",rule,3,Login session succeeded.,solaris_bsm_rules.xml
6104,"syslog,solaris_bsm",rule,5,Login session failed.,solaris_bsm_rules.xml
6105,"syslog,solaris_bsm",rule,3,User successfully changed UID.,solaris_bsm_rules.xml
6106,"syslog,solaris_bsm",rule,5,User failed to change UID (user id).,solaris_bsm_rules.xml
6200,"syslog,asterisk",rule,0,Asterisk messages grouped.,asterisk_rules.xml
