Port,Keyword,Protocol,References
82,SECURE-VMTP,Secure Versatile Message Transaction Protocol,RFC 1045
83,VINES,VINES,
84,TTP,TTP,
84,IPTM,Internet Protocol Traffic Manager,
85,NSFNET-IGP,NSFNET-IGP,
86,DGP,Dissimilar Gateway Protocol,
87,TCF,TCF,
88,EIGRP,EIGRP,Informational RFC 7868
89,OSPF,Open Shortest Path First,RFC 2328
90,Sprite-RPC,Sprite RPC Protocol,
91,LARP,Locus Address Resolution Protocol,
92,MTP,Multicast Transport Protocol,
93,AX.25,AX.25,
94,OS,KA9Q NOS compatible IP over IP tunneling,
95,MICP,Mobile Internetworking Control Protocol,
96,SCC-SP,Semaphore Communications Sec. Pro,
97,ETHERIP,Ethernet-within-IP Encapsulation,RFC 3378
98,ENCAP,Encapsulation Header,RFC 1241
99,,Any private encryption scheme,
100,GMTP,GMTP,
101,IFMP,Ipsilon Flow Management Protocol,
102,PNNI,PNNI over IP,
103,PIM,Protocol Independent Multicast,
104,ARIS,IBM's ARIS (Aggregate Route IP Switching) Protocol,
105,SCPS,SCPS (Space Communications Protocol Standards),SCPS-TP[4]
106,QNX,QNX,
107,A/N,Active Networks,
108,IPComp,IP Payload Compression Protocol,RFC 3173
109,SNP,Sitara Networks Protocol,
110,Compaq-Peer,Compaq Peer Protocol,
111,IPX-in-IP,IPX in IP,
112,VRRP,"Virtual Router Redundancy Protocol, Common Address Redundancy Protocol (not IANA assigned)",VRRP:RFC 3768
113,PGM,PGM Reliable Transport Protocol,RFC 3208
114,,Any 0-hop protocol,
115,L2TP,Layer Two Tunneling Protocol Version 3,RFC 3931
116,DDX,D-II Data Exchange (DDX),
117,IATP,Interactive Agent Transfer Protocol,
118,STP,Schedule Transfer Protocol,
119,SRP,SpectraLink Radio Protocol,
120,UTI,Universal Transport Interface Protocol,
121,SMP,Simple Message Protocol,
122,SM,Simple Multicast Protocol,draft-perlman-simple-multicast-03
123,PTP,Performance Transparency Protocol,
124,IS-IS over IPv4,Intermediate System to Intermediate System (IS-IS) Protocol over IPv4,RFC 1142 and RFC 1195
125,FIRE,Flexible Intra-AS Routing Environment,
126,CRTP,Combat Radio Transport Protocol,
127,CRUDP,Combat Radio User Datagram,
128,SSCOPMCE,Service-Specific Connection-Oriented Protocol in a Multilink and Connectionless Environment,ITU-T Q.2111 (1999)
129,IPLT,,
130,SPS,Secure Packet Shield,
131,PIPE,Private IP Encapsulation within IP,Expired I-D draft-petri-mobileip-pipe-00.txt
132,SCTP,Stream Control Transmission Protocol,RFC 4960
133,FC,Fibre Channel,
134,RSVP-E2E-IGNORE,Reservation Protocol (RSVP) End-to-End Ignore,RFC 3175
135,Mobility Header,Mobility Extension Header for IPv6,RFC 6275
136,UDPLite,Lightweight User Datagram Protocol,RFC 3828
137,MPLS-in-IP,Multiprotocol Label Switching Encapsulated in IP,"RFC 4023, RFC 5332"
138,manet,MANET Protocols,RFC 5498
139,HIP,Host Identity Protocol,RFC 5201
140,Shim6,Site Multihoming by IPv6 Intermediation,RFC 5533
141,WESP,Wrapped Encapsulating Security Payload,RFC 5840
142,ROHC,Robust Header Compression,RFC 5856
143,Ethernet,"IPv6 Segment Routing (TEMPORARY - registered 2020-01-31, expires 2021-01-31)",
255,Reserved,,
